@RELATION data/svmMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {Classical,Electronic,Jazz}

@DATA
0.073280,0.004619,3.202790,0.139665,0.164030,0.607485,0.006302,0.109952,-29.092695,2.470124,-0.374027,-0.062812,-0.326165,-0.016793,-0.066071,0.094211,-0.022425,-0.028716,-0.041601,0.055800,0.045168,0.011482,0.019661,0.031373,0.010118,0.015080,0.021884,0.050589,0.001855,0.006587,0.014656,0.039419,0.010828,0.032310,0.015369,0.002589,0.070968,0.020880,0.025464,0.185859,0.004045,0.027170,0.965993,0.406407,0.279818,0.259618,0.226306,0.220615,0.223990,0.209393,0.213882,0.209122,0.214763,0.185076,0.173056,0.008984,0.014215,0.019500,0.008958,0.012133,0.017047,0.030995,0.001764,0.006437,0.011250,0.022196,0.009732,0.009449,240.000000,0.053327,Classical
0.094799,0.009637,3.213582,0.154001,0.167902,0.866925,0.006488,0.145070,-27.375999,2.244873,-0.253275,0.251437,-0.283496,-0.006741,-0.113791,0.051611,-0.043260,0.052879,0.020406,0.090005,0.031366,0.015874,0.006114,0.029387,0.020226,0.021616,0.016238,0.034030,0.003680,0.009713,0.018190,0.032798,0.007229,0.025905,0.023966,0.004548,0.070909,0.023079,0.022132,0.268732,0.003509,0.043138,0.799824,0.432454,0.289683,0.297203,0.269289,0.254819,0.257473,0.250515,0.251090,0.256117,0.241443,0.216999,0.186453,0.013192,0.006072,0.021632,0.015942,0.016428,0.013421,0.025336,0.004183,0.008858,0.014147,0.021801,0.007207,0.008507,85.714286,0.053135,Classical
0.109547,0.007194,3.197253,0.162636,0.170925,0.983553,0.008406,0.158043,-27.427607,2.101859,-0.131792,0.664360,-0.259403,0.106978,0.007620,0.071227,0.049997,-0.075865,-0.096782,-0.043153,-0.090279,0.018810,0.013938,0.035819,0.005115,0.017455,0.011272,0.020082,0.004605,0.007716,0.018432,0.028180,0.006373,0.023283,0.023382,0.003402,0.072442,0.021426,0.021838,0.226497,0.005706,0.031741,0.741958,0.429198,0.327280,0.284163,0.282344,0.251616,0.266368,0.265821,0.292985,0.267807,0.244857,0.211049,0.198248,0.016465,0.011643,0.025913,0.004587,0.014553,0.011157,0.015097,0.005331,0.007334,0.013945,0.018825,0.006958,0.008022,240.000000,0.050962,Classical
0.091881,0.009363,3.202204,0.163294,0.172960,0.884112,0.007046,0.142735,-25.913006,2.043868,-0.321975,0.073622,-0.216940,-0.061882,-0.260469,-0.037504,-0.090970,-0.007429,0.002934,0.076205,-0.009273,0.019069,0.016013,0.035903,0.009963,0.012550,0.023005,0.036204,0.003210,0.008911,0.018325,0.020823,0.004820,0.025973,0.022067,0.005384,0.079056,0.020725,0.019424,0.257882,0.003589,0.037782,0.987095,0.402323,0.252354,0.239187,0.220946,0.221097,0.209040,0.220705,0.234058,0.214611,0.218318,0.211800,0.201258,0.015217,0.015085,0.024810,0.009294,0.009441,0.020334,0.026658,0.003219,0.008288,0.015013,0.014123,0.004893,0.009498,150.000000,0.076994,Classical
0.092305,0.006949,3.204108,0.162763,0.170183,0.877034,0.006969,0.144135,-27.118109,2.020077,-0.551600,-0.288866,-0.428629,-0.211929,-0.264231,0.075491,-0.034253,0.005476,-0.023155,0.075560,0.083055,0.013560,0.017733,0.019296,0.018078,0.018355,0.014524,0.032329,0.001930,0.011479,0.012388,0.021869,0.013592,0.022951,0.019884,0.004360,0.074061,0.019594,0.019493,0.254442,0.004247,0.042667,1.110811,0.380177,0.268451,0.249457,0.229569,0.226616,0.234057,0.234740,0.229514,0.235749,0.216135,0.219042,0.186951,0.011551,0.019151,0.016507,0.017123,0.015419,0.010407,0.023555,0.001852,0.010000,0.011206,0.014964,0.013419,0.007978,150.000000,0.056446,Classical
0.100867,0.011013,3.222351,0.163916,0.173715,0.917714,0.005160,0.159367,-26.980705,2.099844,-0.302247,-0.199454,-0.374646,-0.181889,-0.306124,-0.083787,-0.169239,-0.084872,-0.027173,0.030853,-0.031622,0.015878,0.014241,0.020154,0.016338,0.034471,0.011377,0.030132,0.003137,0.008665,0.016795,0.021795,0.008922,0.025514,0.019173,0.003799,0.053901,0.017445,0.018695,0.202099,0.003107,0.037822,0.553837,0.304627,0.253915,0.247792,0.226553,0.225274,0.222791,0.206192,0.214900,0.207484,0.196582,0.187895,0.176014,0.010735,0.011299,0.012867,0.010693,0.020849,0.007423,0.019014,0.002564,0.005739,0.009948,0.011961,0.006704,0.007999,300.000000,0.052599,Classical
0.070518,0.006762,3.146942,0.124762,0.152687,0.506733,0.009964,0.098327,-27.529909,3.073245,-0.722487,0.050215,-0.351287,-0.009300,-0.142838,-0.039510,-0.034718,-0.007322,0.021851,0.022219,-0.017268,0.022523,0.006680,0.021282,0.021585,0.021348,0.015052,0.034826,0.005683,0.015339,0.018175,0.026283,0.013489,0.027051,0.017241,0.004383,0.131088,0.024649,0.033859,0.211577,0.007416,0.027149,0.990092,0.485901,0.384065,0.329419,0.287308,0.269368,0.265366,0.254718,0.265248,0.247299,0.236902,0.208181,0.186071,0.021183,0.006956,0.017063,0.021130,0.018870,0.013899,0.025832,0.006776,0.016757,0.015617,0.020347,0.014272,0.008836,120.000000,0.064352,Classical
0.086417,0.006450,3.202983,0.147930,0.164896,0.730317,0.005626,0.130682,-28.382253,2.487994,-0.508319,0.056571,-0.293393,0.013358,-0.124680,0.007157,-0.050961,0.011101,-0.019836,0.042348,0.016970,0.023052,0.010459,0.025082,0.014751,0.022748,0.020682,0.029890,0.002715,0.010677,0.017120,0.030473,0.009740,0.026074,0.018700,0.003395,0.076954,0.023000,0.026031,0.209104,0.003634,0.033648,0.839379,0.387461,0.281981,0.254349,0.236950,0.228732,0.218873,0.221715,0.228143,0.220426,0.210483,0.193463,0.185632,0.016104,0.009504,0.018062,0.011571,0.017456,0.017777,0.020548,0.003228,0.008982,0.012627,0.017714,0.008268,0.008422,150.000000,0.063667,Classical
0.091171,0.002983,3.218442,0.150426,0.164503,0.841370,0.007164,0.134372,-29.296510,2.284263,-0.487879,0.248384,-0.390141,-0.028917,-0.140853,0.033893,0.049318,0.162227,0.015654,0.043744,-0.031574,0.016340,0.015311,0.021543,0.009847,0.012517,0.013070,0.026189,0.004836,0.006953,0.021412,0.028985,0.010333,0.022394,0.018263,0.002214,0.071244,0.022130,0.025270,0.221595,0.005307,0.033128,1.115405,0.366294,0.277566,0.268092,0.244437,0.240370,0.239360,0.234819,0.244023,0.233789,0.239369,0.222875,0.189910,0.015452,0.014704,0.015658,0.009999,0.010622,0.011924,0.018696,0.005653,0.006546,0.016988,0.019035,0.010825,0.007874,92.307692,0.054084,Classical
0.099315,0.007966,3.222935,0.161001,0.167432,1.003392,0.006084,0.158056,-26.699864,2.066244,-0.442692,0.068176,-0.231642,0.088012,0.041030,0.200905,-0.010959,-0.058505,0.001892,0.072127,0.034141,0.019878,0.008797,0.037751,0.014315,0.015390,0.011889,0.028904,0.003412,0.006471,0.010602,0.024868,0.014311,0.021557,0.022116,0.004024,0.063520,0.020239,0.018616,0.267038,0.002993,0.039979,1.086440,0.392005,0.262070,0.241162,0.226879,0.213274,0.229525,0.224336,0.229280,0.234413,0.213552,0.201283,0.185419,0.015737,0.008603,0.026978,0.011920,0.013578,0.008738,0.019602,0.003531,0.006023,0.009594,0.016946,0.013104,0.007281,133.333333,0.057389,Classical
