@RELATION data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {speech,music}

@DATA
0.106943,0.014344,2.757005,0.197497,0.203605,0.745206,0.012808,0.182229,-27.207819,2.604243,-0.059749,0.083958,-0.202808,0.112055,0.215716,-0.040574,0.050942,0.131095,0.062958,0.052509,0.013889,0.010004,0.004651,0.057086,0.005824,0.023637,0.017023,0.031277,0.003519,0.009389,0.013519,0.037119,0.004431,0.023736,0.106801,0.020246,0.460530,0.098304,0.047649,0.667758,0.008104,0.194217,3.570387,0.872021,1.047608,0.435870,0.477265,0.274934,0.293327,0.307336,0.284277,0.257800,0.259634,0.183755,0.158773,0.008701,0.004534,0.038285,0.005515,0.023609,0.016811,0.043904,0.004705,0.014004,0.013599,0.023382,0.005614,0.013746,speech
0.097545,0.015859,2.664840,0.187739,0.192164,0.720410,0.017762,0.153932,-27.029276,2.428645,-0.036880,0.058563,-0.132291,-0.001638,0.282880,0.070867,-0.078476,0.229263,-0.084609,0.178340,0.008461,0.011662,0.003427,0.044980,0.012992,0.021423,0.017490,0.049711,0.006667,0.007284,0.012482,0.036390,0.004963,0.029720,0.094745,0.021563,0.580155,0.090961,0.049619,0.564538,0.012428,0.167467,4.383106,0.845238,1.120402,0.369991,0.627692,0.382207,0.509001,0.379721,0.269479,0.333537,0.223648,0.213859,0.159981,0.012316,0.004709,0.035239,0.015749,0.024592,0.024093,0.092225,0.012459,0.007750,0.010259,0.041974,0.007223,0.024685,speech
0.075010,0.010230,2.661464,0.189368,0.224566,0.544346,0.012857,0.115125,-29.639364,2.373771,0.016614,0.355568,0.102240,0.180510,0.419264,0.229569,0.177659,0.237015,-0.092670,-0.047199,0.018482,0.010206,0.002615,0.059480,0.003772,0.010847,0.004740,0.157148,0.002407,0.002892,0.007695,0.048154,0.003099,0.055385,0.066599,0.011965,0.309769,0.066625,0.027903,0.494317,0.008332,0.129135,2.402746,0.772479,0.627533,0.351518,0.306653,0.228660,0.218382,0.187647,0.199833,0.127234,0.148989,0.137504,0.140626,0.012116,0.003241,0.030811,0.003074,0.008286,0.004710,0.047007,0.004205,0.002520,0.005118,0.032552,0.002861,0.012931,speech
0.182290,0.017541,2.649521,0.290276,0.211169,1.379225,0.016442,0.336125,-27.804738,0.931774,-0.358402,0.050928,-0.262653,-0.185156,-0.038552,-0.093797,-0.442485,-0.202756,-0.318121,0.056576,-0.041227,0.008373,0.003367,0.014564,0.023880,0.021305,0.025982,0.018037,0.005785,0.005684,0.007025,0.009479,0.002818,0.018956,0.125801,0.024045,0.618703,0.136243,0.037982,0.747141,0.015615,0.255453,4.025969,1.306315,1.160558,0.636476,0.500704,0.407874,0.430821,0.428623,0.446289,0.408431,0.363342,0.378553,0.399616,0.010358,0.006567,0.016951,0.042859,0.029517,0.045194,0.025701,0.011570,0.008970,0.009021,0.012500,0.003014,0.016702,speech
0.199186,0.009740,2.708113,0.291236,0.224420,1.458086,0.012405,0.336750,-27.263893,1.182661,0.122174,-0.223130,-0.481214,-0.124175,-0.114779,0.050697,-0.126364,-0.181736,-0.174115,-0.121123,-0.145671,0.022390,0.006860,0.031855,0.023011,0.017879,0.015254,0.021567,0.003103,0.003580,0.007540,0.012845,0.006540,0.020747,0.117911,0.011389,0.410647,0.102931,0.022513,0.631003,0.007802,0.204337,2.261897,1.041001,0.735162,0.381014,0.386605,0.297147,0.295100,0.255591,0.286751,0.232131,0.323645,0.305351,0.274757,0.026038,0.006434,0.030301,0.025639,0.023104,0.022912,0.030829,0.005531,0.003090,0.008640,0.013808,0.006968,0.012319,speech
0.151476,0.011119,2.659988,0.259741,0.218782,1.147423,0.025253,0.272219,-28.599027,1.477172,0.321147,-0.175433,-0.343906,0.188098,-0.000904,-0.021805,0.032777,0.010735,-0.181969,-0.000391,-0.167113,0.022395,0.005060,0.019433,0.014770,0.018178,0.009770,0.041336,0.003712,0.005500,0.017261,0.030199,0.004219,0.026684,0.148620,0.015352,0.457582,0.131728,0.031761,0.908743,0.024414,0.248970,3.342338,1.307629,0.807058,0.544704,0.446635,0.297840,0.287222,0.297988,0.264642,0.260913,0.262439,0.204583,0.304731,0.034132,0.007709,0.023066,0.025106,0.026509,0.015181,0.057901,0.008289,0.007295,0.025798,0.037286,0.007166,0.021506,speech
0.125130,0.014018,2.585720,0.228075,0.210072,1.006137,0.031428,0.232823,-28.208340,1.929830,0.203799,-0.030291,-0.358717,-0.007071,0.243684,0.015150,0.109016,0.171065,-0.034743,0.139981,-0.019516,0.007987,0.005884,0.034763,0.012843,0.027654,0.010143,0.039735,0.002185,0.007277,0.011845,0.032491,0.006304,0.023238,0.128861,0.015680,0.548248,0.122909,0.034289,0.858545,0.035223,0.244253,3.338646,1.379217,0.698091,0.422336,0.475064,0.208344,0.337779,0.249267,0.273885,0.199244,0.244737,0.161539,0.179040,0.008349,0.010129,0.031678,0.016663,0.026787,0.011936,0.028904,0.003017,0.012901,0.011693,0.033678,0.006918,0.013175,speech
0.120642,0.013497,2.541903,0.231229,0.215146,0.853895,0.014034,0.208503,-27.754030,2.133599,0.618273,0.065746,-0.112282,0.034455,0.226324,0.011237,0.170624,0.182056,0.021489,0.201293,-0.030236,0.011933,0.002820,0.076955,0.007641,0.020924,0.007498,0.067918,0.001316,0.005739,0.008124,0.031502,0.003669,0.032822,0.134887,0.013746,0.569498,0.125834,0.035611,0.860258,0.009762,0.239498,3.064054,1.377191,0.724499,0.493322,0.405147,0.361293,0.324199,0.232116,0.232566,0.239161,0.231933,0.169112,0.155713,0.012202,0.003682,0.052546,0.010302,0.023728,0.007383,0.073490,0.001784,0.006385,0.008312,0.025674,0.004417,0.021752,speech
0.189025,0.008907,2.558150,0.297674,0.220774,1.396793,0.014639,0.344969,-28.297991,0.933791,0.217163,-0.217876,-0.295332,-0.068358,0.166152,0.019773,-0.000979,0.035555,-0.143040,-0.021134,-0.182124,0.021774,0.008128,0.020650,0.009078,0.008996,0.005631,0.024382,0.002928,0.007003,0.020376,0.023954,0.008339,0.019534,0.159039,0.014466,0.604822,0.127048,0.028788,0.780033,0.012435,0.248069,3.622323,1.334931,0.968639,0.645788,0.591192,0.332200,0.433121,0.285928,0.302554,0.299520,0.295494,0.285275,0.312671,0.026338,0.014731,0.028169,0.013158,0.013013,0.008073,0.038937,0.004144,0.011189,0.027608,0.025845,0.011117,0.016065,speech
0.180074,0.014905,2.555895,0.274383,0.213025,1.355670,0.014969,0.311577,-27.740220,0.959989,-0.269400,-0.180183,-0.376569,-0.065924,-0.001173,-0.216833,-0.371969,-0.218849,-0.273741,0.067922,-0.091710,0.012398,0.004713,0.019970,0.020381,0.022269,0.020196,0.023099,0.006077,0.009043,0.007919,0.012245,0.003083,0.020450,0.141893,0.023606,0.652089,0.120630,0.038251,0.731327,0.010400,0.232179,4.198959,1.369339,1.090819,0.593958,0.557228,0.371195,0.443313,0.387691,0.448918,0.370291,0.438195,0.414451,0.410609,0.017608,0.009063,0.028084,0.028753,0.030780,0.026724,0.034646,0.012509,0.015512,0.012987,0.018333,0.003084,0.014215,speech
