@RELATION knnSpeaker
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {bbc_sp_1,jimcarrey,F2,M3,bbc_sp_4,thodoris,dw_sp04,psomiadis,TI,M5,letterman1,M1,M4,tv_aytias,billmarrey,dw_spk02,F3,lusa_spk01,dw_spk01,bbc_sp_2,F5,lusa_spk04,lusa_spk03}

@DATA
0.122561,0.034310,3.082591,0.210942,0.202955,0.799630,0.011577,0.188333,-24.852827,2.389007,-0.005689,-0.672421,-0.172404,-0.144851,0.242433,0.035045,0.159545,-0.291368,0.065145,-0.033748,-0.138968,0.024751,0.029909,0.007419,0.009877,0.020661,0.027577,0.042865,0.005753,0.004190,0.005847,0.009204,0.013926,0.023906,0.119716,0.039942,0.323073,0.090282,0.019977,0.583626,0.007766,0.178602,2.310578,0.813352,0.748027,0.429047,0.470710,0.462537,0.386564,0.269907,0.332120,0.261318,0.275586,0.280729,0.190585,0.029752,0.036254,0.006492,0.013566,0.026408,0.035936,0.031249,0.015601,0.003034,0.005829,0.015665,0.030632,0.010680,jimcarrey
0.144318,0.039072,3.059128,0.212496,0.178691,1.477298,0.006974,0.234052,-24.495305,0.904546,-1.110116,-0.194826,0.049071,0.213219,0.094548,-0.118054,-0.129541,0.023357,-0.223451,0.000147,-0.023817,0.010214,0.005500,0.011768,0.007849,0.010261,0.023557,0.014269,0.005106,0.006707,0.019281,0.010713,0.008550,0.013957,0.041334,0.042598,0.293981,0.036247,0.022795,0.414204,0.004644,0.102380,3.040514,0.618512,0.758733,0.301162,0.396366,0.280251,0.356595,0.271623,0.255493,0.333826,0.271494,0.209989,0.289957,0.008780,0.005446,0.012459,0.008776,0.008273,0.043391,0.015933,0.005759,0.007488,0.026716,0.008673,0.013244,0.011024,jimcarrey
0.094470,0.036975,3.050934,0.178931,0.182685,0.804441,0.016328,0.148519,-24.072150,2.007569,-0.608776,-0.679711,-0.230964,0.036813,-0.118548,0.159761,-0.149083,-0.049301,-0.098395,0.074090,-0.020623,0.014198,0.008552,0.032066,0.020442,0.017011,0.011910,0.009226,0.006854,0.014133,0.011759,0.009855,0.004649,0.018449,0.037927,0.034014,0.293245,0.041282,0.023484,0.501953,0.006825,0.096339,1.828836,0.737468,1.218901,0.485768,0.694872,0.411025,0.410011,0.245505,0.314638,0.314609,0.318462,0.263989,0.207074,0.024843,0.011064,0.029291,0.028109,0.026215,0.021302,0.008103,0.016430,0.017346,0.016426,0.010669,0.006097,0.008655,jimcarrey
0.108350,0.041265,3.001450,0.197158,0.183014,0.990762,0.011800,0.198750,-23.329328,1.779388,-0.723565,-0.565491,-0.647385,0.271799,0.112704,0.233716,-0.317966,-0.291008,0.124817,-0.207429,-0.037710,0.018019,0.011473,0.019196,0.023462,0.017726,0.013776,0.021726,0.009043,0.007959,0.005138,0.009949,0.008048,0.016099,0.042200,0.035311,0.265384,0.048596,0.027719,0.467451,0.005157,0.116444,1.583440,0.785013,0.876847,0.324007,0.585486,0.543033,0.325958,0.299475,0.369049,0.299151,0.281561,0.205436,0.274218,0.017599,0.012559,0.016187,0.027860,0.020522,0.017306,0.021482,0.020766,0.009789,0.007411,0.016420,0.008543,0.007605,jimcarrey
0.127521,0.040112,3.047836,0.225212,0.201927,0.897238,0.011935,0.252593,-23.930437,2.198101,0.719956,-0.596158,-0.319600,0.182357,-0.065080,-0.044347,-0.167657,-0.032068,-0.028229,-0.044695,-0.126189,0.025611,0.014061,0.071950,0.016708,0.015780,0.011592,0.014112,0.002238,0.009768,0.008025,0.010401,0.005092,0.027421,0.114817,0.046528,0.297590,0.084680,0.030062,0.583071,0.008507,0.196533,1.671656,0.659174,0.612450,0.471392,0.456501,0.305470,0.321219,0.200435,0.235423,0.199817,0.301327,0.250469,0.244842,0.038161,0.026614,0.066184,0.017295,0.017835,0.019880,0.016037,0.002662,0.009916,0.016109,0.015828,0.007289,0.015255,jimcarrey
0.132129,0.039673,3.145487,0.213354,0.187701,0.783933,0.013394,0.197679,-24.790104,2.392210,-0.430140,-0.625810,-0.286608,0.262865,0.146807,0.169241,-0.106086,-0.237683,-0.008956,-0.115467,-0.009095,0.022514,0.007344,0.033103,0.021599,0.016509,0.016124,0.014504,0.002401,0.006272,0.005664,0.013836,0.008521,0.017560,0.114357,0.036869,0.163948,0.104606,0.030555,0.505242,0.007571,0.170855,2.454030,0.746102,0.857017,0.503986,0.585547,0.463826,0.384189,0.325143,0.272635,0.278707,0.210073,0.204612,0.199582,0.028246,0.010990,0.034464,0.030046,0.021496,0.024241,0.014064,0.002638,0.009076,0.006960,0.017097,0.010148,0.010985,jimcarrey
0.214911,0.041379,3.010897,0.279003,0.190385,1.715737,0.009578,0.390714,-24.013170,0.053809,-0.549137,-0.967559,-0.273238,0.074712,0.083880,-0.075496,-0.248666,-0.375258,-0.100981,0.052719,-0.279072,0.005607,0.004889,0.010842,0.017561,0.014192,0.016986,0.011789,0.007391,0.009528,0.007583,0.006415,0.004384,0.013154,0.104160,0.039063,0.475677,0.076868,0.039404,0.553980,0.004880,0.159060,1.978587,1.079377,0.707093,0.521298,0.337541,0.521588,0.421393,0.423823,0.345687,0.368593,0.401763,0.458215,0.278465,0.009058,0.006243,0.012108,0.026026,0.021847,0.024603,0.017942,0.013330,0.017381,0.008822,0.010580,0.004965,0.008875,jimcarrey
0.104997,0.044668,2.837593,0.184374,0.185574,0.670252,0.016331,0.135000,-25.112170,2.278946,-0.647405,-0.394494,-0.442274,-0.084943,0.117816,-0.003151,-0.008506,-0.198989,-0.054279,0.054250,-0.096692,0.009238,0.008822,0.028564,0.043516,0.015243,0.008554,0.016700,0.002907,0.012332,0.016850,0.011243,0.006511,0.021667,0.070214,0.046007,0.621301,0.073861,0.027223,0.505481,0.008916,0.127316,3.011480,0.783142,0.953580,0.454507,0.598237,0.332495,0.294667,0.380243,0.318933,0.290472,0.243236,0.176093,0.142769,0.014066,0.021091,0.032080,0.043857,0.017543,0.010904,0.023239,0.004121,0.017236,0.023618,0.011924,0.012157,0.009834,jimcarrey
0.156538,0.049211,3.122796,0.229952,0.183700,1.373670,0.011106,0.282870,-23.457970,0.904891,-0.404501,-0.703097,-0.455772,0.161766,-0.156035,-0.292404,-0.381060,-0.313951,-0.025765,0.107293,-0.119193,0.014127,0.009661,0.013916,0.008472,0.018544,0.021359,0.021458,0.009479,0.016224,0.006644,0.006575,0.003336,0.016975,0.067392,0.039634,0.152633,0.049864,0.022944,0.590684,0.007152,0.124699,2.264982,1.075532,0.741303,0.515731,0.402345,0.411366,0.419784,0.362458,0.373684,0.372504,0.341937,0.383290,0.362223,0.025691,0.015255,0.017137,0.006773,0.026647,0.032758,0.034787,0.012720,0.024002,0.006889,0.007650,0.003363,0.011999,jimcarrey
0.120195,0.038344,2.840125,0.199984,0.186412,0.912694,0.019643,0.216071,-24.756823,1.986393,-0.255865,-0.698816,-0.431190,0.140462,-0.109691,-0.069624,0.044707,-0.204166,0.021340,-0.021857,-0.229712,0.012799,0.007628,0.016024,0.014289,0.017868,0.010762,0.024920,0.002620,0.010248,0.029693,0.019254,0.009623,0.020808,0.081145,0.039115,0.557484,0.082735,0.034713,0.660415,0.017999,0.174496,2.559102,0.933472,1.128237,0.606901,0.624146,0.328540,0.380910,0.399843,0.290747,0.317259,0.244172,0.307925,0.264112,0.017768,0.010981,0.016272,0.018547,0.032075,0.013880,0.037054,0.004106,0.016887,0.043395,0.023669,0.015089,0.011998,jimcarrey
