@RELATION knnSpeakerFemaleMale
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {female,male}

@DATA
0.231884,0.029674,2.929209,0.315177,0.231952,1.239343,0.019705,0.336594,-27.733127,1.377693,0.370917,0.427124,-0.281371,-0.001711,0.032548,-0.344062,-0.107412,-0.192004,-0.052174,-0.120292,0.042933,0.007090,0.002149,0.030909,0.000908,0.004322,0.053036,0.001334,0.004865,0.015068,0.003303,0.049661,0.003681,0.029980,0.247689,0.038447,0.419783,0.188826,0.040342,0.823331,0.018780,0.327103,4.198843,1.300636,0.614730,0.553694,0.498289,0.380480,0.344740,0.424943,0.355261,0.390068,0.332711,0.276048,0.325762,0.012629,0.003739,0.046932,0.001863,0.008525,0.062106,0.002170,0.007369,0.019810,0.004779,0.077968,0.006005,0.021527,female
0.210741,0.072336,2.964007,0.292071,0.225981,1.041754,0.017315,0.308255,-25.683857,1.912993,0.895004,0.128066,-0.144136,0.107918,0.042429,-0.097079,0.062995,-0.029735,0.092090,0.078845,0.048978,0.008651,0.001778,0.041776,0.001003,0.003535,0.020099,0.000961,0.002167,0.020882,0.001744,0.074476,0.001148,0.027210,0.215918,0.066288,0.239706,0.173409,0.039718,0.935144,0.014442,0.312136,2.662794,1.558584,0.608980,0.444934,0.468800,0.308122,0.353641,0.279356,0.239064,0.276263,0.222436,0.254096,0.312835,0.016518,0.003226,0.041569,0.002249,0.004726,0.018925,0.001708,0.004367,0.031449,0.003157,0.051697,0.001394,0.014012,female
0.161317,0.055082,2.932752,0.256709,0.220288,0.873832,0.017894,0.227500,-26.114632,1.966806,0.591462,0.160750,-0.068833,0.139964,-0.038133,0.033019,-0.108332,-0.000705,0.050614,-0.007410,-0.114565,0.007274,0.000820,0.089302,0.000734,0.002590,0.015621,0.000922,0.003043,0.010767,0.002411,0.062145,0.001857,0.035943,0.212871,0.045628,0.468851,0.168084,0.051993,0.840174,0.016034,0.296695,2.996870,1.204620,0.805059,0.534822,0.435443,0.280492,0.422691,0.342431,0.276841,0.210018,0.284636,0.300834,0.305148,0.006362,0.001334,0.081698,0.000937,0.004143,0.014575,0.001286,0.005316,0.013339,0.004312,0.062957,0.002743,0.018838,female
0.222773,0.039800,3.008513,0.309123,0.222772,1.282021,0.018084,0.347782,-26.229178,1.394066,0.689150,0.262318,-0.087345,0.127536,0.132383,-0.160645,0.029418,-0.032096,0.081228,-0.010141,-0.039273,0.007758,0.001963,0.041407,0.001398,0.004676,0.013202,0.001912,0.003650,0.014921,0.003159,0.069038,0.003243,0.026729,0.235092,0.034487,0.277076,0.179842,0.046178,0.937067,0.021605,0.316668,3.153463,1.489636,0.699136,0.573855,0.410636,0.384732,0.294833,0.391345,0.254135,0.294436,0.278598,0.267212,0.303798,0.014753,0.002631,0.047516,0.002439,0.011923,0.013370,0.004092,0.006490,0.025089,0.004003,0.070356,0.005711,0.018490,female
0.107425,0.044545,2.958876,0.213387,0.224133,0.667977,0.027083,0.151959,-27.535280,2.273069,0.689608,0.129501,0.235349,0.095536,0.212169,0.124545,0.023952,-0.012511,0.016719,0.090152,0.054991,0.004211,0.001386,0.028123,0.000762,0.010073,0.029909,0.000966,0.001344,0.008385,0.001409,0.131879,0.001253,0.040719,0.130900,0.048065,0.223159,0.108922,0.034441,0.730107,0.035848,0.208414,4.275482,1.255301,0.953695,0.518856,0.322952,0.383861,0.309617,0.253567,0.257695,0.270167,0.249866,0.257110,0.206761,0.005512,0.003314,0.032177,0.001176,0.018847,0.034661,0.002037,0.001465,0.012067,0.002106,0.083544,0.002071,0.020090,female
0.142241,0.023997,2.956011,0.227879,0.212123,1.265080,0.015198,0.244238,-26.954616,1.195753,0.466901,0.348921,0.063683,0.254796,-0.162331,-0.129971,0.139320,0.016090,0.188387,0.141134,0.094911,0.006832,0.003780,0.014750,0.003266,0.005410,0.018647,0.001090,0.002268,0.015249,0.004330,0.116360,0.005966,0.032675,0.093742,0.029529,0.271088,0.065196,0.022945,0.782636,0.018385,0.155723,3.479935,1.295570,0.661914,0.617059,0.464497,0.338118,0.487006,0.414034,0.356957,0.250828,0.295399,0.288698,0.185002,0.005818,0.005524,0.017883,0.006285,0.008645,0.016085,0.001963,0.002320,0.017856,0.005432,0.067275,0.007519,0.018057,female
0.187316,0.028847,2.876541,0.277453,0.218388,1.217872,0.017678,0.291827,-27.303106,1.562144,0.235548,0.529368,0.136123,0.098403,0.263873,-0.112111,0.087870,0.069887,0.078321,-0.022390,0.057361,0.004774,0.001558,0.019693,0.002914,0.006001,0.022014,0.002160,0.003460,0.018792,0.004073,0.094814,0.003249,0.028479,0.204333,0.032913,0.433674,0.166789,0.037976,0.869814,0.022594,0.289888,4.209764,1.276938,0.784976,0.592876,0.396979,0.451107,0.357530,0.332239,0.280886,0.351962,0.265457,0.250844,0.232540,0.004847,0.001802,0.017253,0.004008,0.007922,0.027071,0.003783,0.004128,0.025846,0.006266,0.073753,0.003940,0.019689,female
0.234755,0.036608,2.873466,0.328091,0.242520,1.061585,0.017121,0.347642,-28.588440,1.426915,0.912065,-0.162546,0.188373,0.047077,0.139733,0.125008,0.060094,0.024377,0.098920,0.119234,0.085845,0.003158,0.000635,0.023290,0.000894,0.003511,0.016889,0.001025,0.002264,0.011488,0.003942,0.112230,0.001141,0.034193,0.250082,0.046304,0.331576,0.184499,0.039868,0.844342,0.020263,0.332721,4.173504,1.435907,0.795355,0.663915,0.342345,0.448487,0.229915,0.289963,0.250612,0.248397,0.246003,0.211256,0.244135,0.003456,0.001031,0.033986,0.001971,0.008451,0.021058,0.001718,0.003199,0.023038,0.006893,0.092166,0.001769,0.024104,female
0.257361,0.042735,2.965584,0.315155,0.211970,1.380952,0.015046,0.378309,-26.941099,1.258276,0.400816,0.488144,-0.217655,0.118960,0.107946,-0.091252,-0.003106,-0.102929,0.254166,0.134038,0.036072,0.004663,0.004007,0.017431,0.002722,0.006453,0.015415,0.001615,0.003511,0.024192,0.003349,0.067652,0.002853,0.021928,0.245670,0.047293,0.404020,0.203475,0.039631,0.967494,0.020601,0.323110,3.086120,1.766079,0.622324,0.358009,0.453265,0.465555,0.417984,0.305220,0.243544,0.307813,0.261376,0.230923,0.208918,0.004371,0.010030,0.018835,0.004261,0.010173,0.024184,0.002367,0.003831,0.032714,0.003772,0.049957,0.003977,0.014160,female
0.178626,0.054941,2.879977,0.272273,0.231279,1.004417,0.017149,0.300455,-25.733439,1.920749,0.750471,-0.045687,-0.251265,0.336436,0.172081,0.000293,0.069345,-0.162619,0.165500,0.092686,0.064949,0.003195,0.001590,0.026357,0.001275,0.015172,0.020659,0.000615,0.003104,0.017227,0.002084,0.095501,0.001387,0.029211,0.211705,0.048051,0.332062,0.161066,0.045081,0.788648,0.021257,0.305015,3.517267,1.172985,0.631607,0.558520,0.457422,0.442251,0.334004,0.313539,0.312412,0.259991,0.256974,0.218048,0.209856,0.002720,0.001889,0.023451,0.001917,0.016806,0.017360,0.000831,0.007858,0.027037,0.002574,0.057002,0.002087,0.014407,female
